cell	flows
GSM1112550_4cell_4-1	13.972657705271134
t	9.273315550148578
GSM1112541_4cell_1-2	1.1764475290791088
GSM1112562_8cell_2-2	0.3189383715699506
GSM1112573_8cell_5-7	0.3189383715699506
GSM1112569_8cell_5-2	0.3189383715699506
GSM1112535_16cell_6-5	0.1856050382366172
GSM1112507_16cell_4-2	0.3189383715699506
GSM1112606_early2cell_1-2	1.1263600442547792
GSM1112767_zy2	14.36756868123474
s	9.273315550148578
GSM1112505_16cell_4-10	0.1333333333333334
GSM1112604_early2cell_0r-2	1.4710448494138082
GSM1112542_4cell_1-4	0.857509157509158
GSM1112663_late2cell_9-2	2.8619088319088304
GSM1112654_late2cell_5-1	2.2711187859062343
GSM1112703_mid2cell_6-2	3.1426679631421823
GSM1112662_late2cell_9-1	3.6692118226600985
GSM1112660_late2cell_8-1	2.976856476856476
GSM1112704_mid2cell_7-1	6.35725195503421
GSM1112702_mid2cell_6-1	7.667127105497217
GSM1112657_late2cell_6-2	2.4289917418916263
GSM1112705_mid2cell_7-2	0.8500000000000001
GSM1112603_early2cell_0r-1	2.1385072042966753
GSM1112656_late2cell_6-1	0.275862068965518
GSM1112699_mid2cell_4-2	1.3654546298384165
GSM1112766_zy1	1.393939393939394
GSM1112522_16cell_5-4	0.04767400375385862
GSM1112545_4cell_2-3	0.8370370370370359
GSM1112659_late2cell_7-2	2.647293447293446
GSM1112658_late2cell_7-1	1.6258602598063103
GSM1112605_early2cell_1-1	1.2432432432432419
GSM1112768_zy3	1.243243243243242
GSM1112661_late2cell_8-2	2.448457792207794
GSM1112655_late2cell_5-2	3.120259916557569
GSM1112608_early2cell_2-2	0.8475073313782979
GSM1112610_early2cell_3-2	0.8475073313782979
GSM1112609_early2cell_3-1	0.8475073313782979
GSM1112697_mid2cell_3-2	0.7345707971502824
GSM1112551_4cell_4-2	2.089251185730311
GSM1112553_4cell_4-4	2.2719240408714083
GSM1112552_4cell_4-3	2.089655172413793
GSM1112607_early2cell_2-1	0.722222222222222
GSM1112769_zy4	1.243243243243242
