cell	flows
GSM1112656_late2cell_6-1	16.88737875104596
t	10.15878677812038
GSM1112659_late2cell_7-2	0.8358269783843564
GSM1112661_late2cell_8-2	2.341070906248258
GSM1112697_mid2cell_3-2	1.606671554252198
GSM1112606_early2cell_1-2	1.501360044254779
GSM1112767_zy2	16.138511137178348
s	10.15878677812038
GSM1112660_late2cell_8-1	3.065746453981747
GSM1112704_mid2cell_7-1	6.200389209936172
GSM1112702_mid2cell_6-1	7.831710438830551
GSM1112694_mid2cell_0r-1	0.869565217391304
GSM1112609_early2cell_3-1	0.8475073313782979
GSM1112663_late2cell_9-2	0.3189383715699506
GSM1112551_4cell_4-2	0.2640482727597066
GSM1112562_8cell_2-2	0.3189383715699506
GSM1112573_8cell_5-7	0.3189383715699506
GSM1112569_8cell_5-2	0.3189383715699506
GSM1112535_16cell_6-5	0.1856050382366172
GSM1112507_16cell_4-2	0.3189383715699506
GSM1112655_late2cell_5-2	0.8796296296296308
GSM1112610_early2cell_3-2	0.8475073313782979
GSM1112608_early2cell_2-2	0.8475073313782979
GSM1112662_late2cell_9-1	0.9464285714285701
GSM1112705_mid2cell_7-2	1.083333333333334
GSM1112603_early2cell_0r-1	2.481364347153818
GSM1112699_mid2cell_4-2	0.48777173913043403
GSM1112607_early2cell_2-1	1.315073137653782
GSM1112552_4cell_4-3	0.05489009881024398
GSM1112505_16cell_4-10	0.1333333333333334
GSM1112604_early2cell_0r-2	2.1904213720003147
GSM1112700_mid2cell_5-1	0.869565217391304
GSM1112696_mid2cell_3-1	0.628571428571428
GSM1112522_16cell_5-4	0.04767400375385862
GSM1112769_zy4	1.2432432432432419
GSM1112698_mid2cell_4-1	0.869565217391304
GSM1112766_zy1	1.393939393939394
GSM1112703_mid2cell_6-2	2.592663115007973
GSM1112657_late2cell_6-2	1.783528941423675
GSM1112658_late2cell_7-1	1.8571428571428568
GSM1112605_early2cell_1-1	1.243243243243242
GSM1112654_late2cell_5-1	1.8571428571428568
GSM1112768_zy3	1.243243243243242
