cell	flows
GSM1112603_early2cell_0r-1	34.77766064345012
t	21.166608099502835
GSM1112704_mid2cell_7-1	0.789473684210526
GSM1112767_zy2	33.949608325397804
s	21.166608099502835
GSM1112702_mid2cell_6-1	1.9058248768775061
GSM1112507_16cell_4-2	0.1025641025641026
GSM1112606_early2cell_1-2	1.7870085470085477
GSM1112601_C57twocell_22-1	1.4358974358974366
GSM1112608_early2cell_2-2	0.9191919191919181
GSM1112609_early2cell_3-1	0.9191919191919181
GSM1112610_early2cell_3-2	0.9191919191919181
GSM1112599_C57twocell_20-1	1.037037037037036
GSM1112600_C57twocell_20-2	1.037037037037036
GSM1112597_C57twocell_18-1	1.037037037037036
GSM1112595_C57twocell_16-1	1.037037037037036
GSM1112598_C57twocell_18-2	1.037037037037036
GSM1112596_C57twocell_16-2	1.037037037037036
GSM1112696_mid2cell_3-1	0.342857142857142
GSM1112607_early2cell_2-1	1.509259259259259
GSM1112705_mid2cell_7-2	0.25
GSM1112766_zy1	1.5674554732449546
GSM1112697_mid2cell_3-2	0.484848484848484
GSM1112605_early2cell_1-1	1.9865319865319857
GSM1112602_C57twocell_22-2	1.333333333333334
GSM1112768_zy3	1.9865319865319857
GSM1112703_mid2cell_6-2	0.41025641025641
GSM1112604_early2cell_0r-2	2.3216783216783217
GSM1112769_zy4	1.986531986531986
